Country,City,Month,Day,Year,AvgTemperature
Malawi,Lilongwe,4,22,1996,-99
Malawi,Lilongwe,4,23,1996,-99
Malawi,Lilongwe,4,24,1996,-99
Malawi,Lilongwe,4,25,1996,-99
Malawi,Lilongwe,4,26,1996,-99
Malawi,Lilongwe,4,27,1996,-99
Malawi,Lilongwe,4,28,1996,-99
Malawi,Lilongwe,4,29,1996,-99
Malawi,Lilongwe,4,30,1996,-99
Malawi,Lilongwe,5,1,1996,-99
Malawi,Lilongwe,5,2,1996,-99
Malawi,Lilongwe,5,3,1996,-99
Malawi,Lilongwe,5,4,1996,-99
Malawi,Lilongwe,5,5,1996,-99
Malawi,Lilongwe,5,6,1996,-99
Malawi,Lilongwe,5,7,1996,-99
Malawi,Lilongwe,5,8,1996,-99
Malawi,Lilongwe,5,9,1996,-99
Malawi,Lilongwe,5,10,1996,-99
Malawi,Lilongwe,5,11,1996,-99
Malawi,Lilongwe,5,12,1996,-99
Malawi,Lilongwe,5,13,1996,-99
Malawi,Lilongwe,5,14,1996,-99
Malawi,Lilongwe,5,15,1996,-99
Malawi,Lilongwe,5,16,1996,-99
Malawi,Lilongwe,5,17,1996,-99
Malawi,Lilongwe,5,18,1996,-99
Malawi,Lilongwe,5,19,1996,-99
Malawi,Lilongwe,5,20,1996,-99
Malawi,Lilongwe,5,21,1996,-99
Malawi,Lilongwe,5,22,1996,-99
Malawi,Lilongwe,5,23,1996,-99
Malawi,Lilongwe,5,24,1996,-99
Malawi,Lilongwe,5,25,1996,-99
Malawi,Lilongwe,5,26,1996,-99
Malawi,Lilongwe,5,27,1996,-99
Malawi,Lilongwe,5,28,1996,-99
Malawi,Lilongwe,5,29,1996,-99
Malawi,Lilongwe,5,30,1996,-99
Malawi,Lilongwe,5,31,1996,-99
Malawi,Lilongwe,6,1,1996,-99
Malawi,Lilongwe,6,2,1996,-99
Malawi,Lilongwe,6,3,1996,-99
Malawi,Lilongwe,6,4,1996,75.2
Malawi,Lilongwe,6,5,1996,-99
Malawi,Lilongwe,6,6,1996,-99
Malawi,Lilongwe,6,7,1996,-99
Malawi,Lilongwe,6,8,1996,-99
Malawi,Lilongwe,6,9,1996,-99
Malawi,Lilongwe,6,10,1996,-99
Malawi,Lilongwe,6,11,1996,-99
Malawi,Lilongwe,6,12,1996,58.7
Malawi,Lilongwe,6,13,1996,-99
Malawi,Lilongwe,6,14,1996,-99
Malawi,Lilongwe,6,15,1996,55.2
Malawi,Lilongwe,6,16,1996,-99
Malawi,Lilongwe,6,17,1996,-99
Malawi,Lilongwe,6,18,1996,-99
Malawi,Lilongwe,6,19,1996,-99
Malawi,Lilongwe,6,20,1996,-99
Malawi,Lilongwe,6,21,1996,-99
Malawi,Lilongwe,6,22,1996,-99
Malawi,Lilongwe,6,23,1996,-99
Malawi,Lilongwe,6,24,1996,-99
Malawi,Lilongwe,6,25,1996,-99
Malawi,Lilongwe,6,26,1996,-99
Malawi,Lilongwe,6,27,1996,-99
Malawi,Lilongwe,6,28,1996,-99
Malawi,Lilongwe,6,29,1996,-99
Malawi,Lilongwe,6,30,1996,-99
Malawi,Lilongwe,7,1,1996,-99
Malawi,Lilongwe,7,2,1996,-99
Malawi,Lilongwe,7,3,1996,-99
Malawi,Lilongwe,7,4,1996,-99
Malawi,Lilongwe,7,5,1996,-99
Malawi,Lilongwe,7,6,1996,-99
Malawi,Lilongwe,7,7,1996,-99
Malawi,Lilongwe,7,8,1996,-99
Malawi,Lilongwe,7,9,1996,-99
Malawi,Lilongwe,7,10,1996,-99
Malawi,Lilongwe,7,11,1996,-99
Malawi,Lilongwe,7,12,1996,-99
Malawi,Lilongwe,7,13,1996,-99
